,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C01-NUSVR--nu=0.25-C=10,C02-NUSVR--nu=0.05-C=0.1,C03-NUSVR--nu=0.25-C=10,C04-NUSVR--nu=0.05-C=0.1,C05-NUSVR--nu=0.75-C=0.1,C06-NUSVR--nu=0.5-C=10,C07-NUSVR--nu=0.05-C=0.1,C08-NUSVR--nu=0.05-C=0.1,C09-NUSVR--nu=0.75-C=0.5,C10-NUSVR--nu=0.25-C=10,T01-NUSVR--nu=0.25-C=10,T02-NUSVR--nu=0.05-C=10,T03-NUSVR--nu=0.25-C=0.1,T04-NUSVR--nu=0.75-C=0.1,T05-NUSVR--nu=0.15-C=0.1,T06-NUSVR--nu=0.75-C=1,T07-NUSVR--nu=0.05-C=0.1,T08-NUSVR--nu=0.75-C=0.1,T09-NUSVR--nu=0.75-C=0.1,T10-NUSVR--nu=0.5-C=0.75
ciliated epithelial cell/epithelial cell of uterus,0.026557852689923004,0.026557852689923004,0.026557852689923004,0.026557852689923004,0.0,0.0,0.0,0.0035268507536208543,0.10545543737437742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03208236641787903,0.0075994453145364045,0.0,0.09256333568457012,0.04195641216644548,0.0,0.0
club cell/type i pneumocyte,0.031850771760033945,0.031850771760033945,0.031850771760033945,0.031850771760033945,0.0,0.0,0.0,0.0,0.0,0.0,0.0025199758735177545,0.038677495978561544,0.11233829164432882,0.026314350288278388,0.0730126298106985,0.0,0.0,0.0,0.019706154993607134,0.0,0.01611128045090955,0.0316482075646881,0.019944847751597456
club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,0.0,0.0,0.0,0.0,0.0,0.0095552181403958,0.0,0.0,0.016357934743083193,0.07623905877945605,0.0,0.0,0.0,0.0,0.07669369186435242,0.05976572059447059,0.0,0.0,0.0,0.0907655436336785,0.0,0.0,0.0
duct epithelial cell/serous cell of epithelium of bronchus,0.23784893040375657,0.23784893040375657,0.23784893040375657,0.23784893040375657,0.0,0.13309600565618843,0.0,0.0,0.0,0.0,0.016033420861766512,0.008232175186799102,0.038367827168397775,0.0042368990789768135,0.0204641713720991,0.0,0.0,0.0017105177281230208,0.09168176997508265,0.013778991570309247,0.0,0.0,0.0
duodenum glandular cell,0.0,0.0,0.0,0.0,0.0003203351737161601,0.0,0.0,0.07043800930336169,0.10866204591244204,0.0,0.0,0.0817082997154957,0.03270787370725247,0.011446669685961513,0.012508078510618277,0.008351468407059874,0.0,0.00011276441111741869,0.04475456424949087,0.00637644303652411,0.0455090926619234,0.0,0.0
enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,0.017666301958341867,0.017666301958341867,0.017666301958341867,0.017666301958341867,0.07977045361239356,0.06770770539232387,0.11551822264511673,0.01761971909783445,0.0,0.0,0.04697710136515014,0.0584044987322782,0.00813734062422415,0.011576679162615658,0.017984766085989805,0.016800405942555927,0.023218914426419626,0.03715953513693179,0.007838183878147578,0.02350526138626371,0.05117555556972734,0.07767886628516066,0.0020999619416627166
goblet cell,0.018018460143411078,0.018018460143411078,0.018018460143411078,0.018018460143411078,0.006730170250497542,0.0,0.17996059732930925,0.0,0.0,0.0,0.009824062739268466,0.0,0.06558290772053278,0.0,0.0,0.02100770268731084,0.0,0.0,0.0,0.0,0.0,0.004928542981712891,0.0
hepatocyte,0.005358899567429532,0.005358899567429532,0.005358899567429532,0.005358899567429532,0.006250220113369065,0.00507156908233164,0.0,0.007946535524633565,0.016994508892387995,0.02457220744488158,0.034793727493012294,0.0,0.05476134809268458,0.0,0.0,0.024874061896757817,0.0,0.007832943995154875,0.021263986728354417,0.004811456983658888,0.0,0.0,0.02379422045632687
immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0035166190227778078,0.06764474551176823,0.04240986230223518,0.0,0.0,0.026547908991353,0.0,0.0,0.023527271931912414,0.0,0.0035687740444032812,0.0,0.0,0.0,0.0,0.0,0.0
intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,0.016738993721502855,0.016738993721502855,0.016738993721502855,0.016738993721502855,0.09064049412719846,0.0,0.025062514619842557,0.0,0.0,0.04541830991520869,0.0002945292569022277,0.0,0.0,0.0,0.025929890142815052,0.0,0.0,0.010889221597648114,0.0,0.0,0.0,0.0,0.06264157418016858
intestinal tuft cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010870908533946887,0.03750117450729741,0.0216321144850427,0.0018634277136891225,0.003944687967250303,0.007899844203138343,0.0036027192902183965,0.0,0.0,0.0051266484829132816,0.0,0.0,0.0,0.0,0.004247928360967979
intrahepatic cholangiocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058849779617362145,0.0055053977029288345,0.0,0.0,0.00364545544973039,0.0,0.005935366082893795,0.03828254457007582,0.015911339093223703,0.0,0.025357660234833518,0.0,0.0,0.000507464382155599,0.0,0.0
ionocyte/luminal epithelial cell of mammary gland,0.0,0.0,0.0,0.0,0.0,0.01110962569335674,0.0035213844135294106,0.0,0.0,0.0,0.0,0.056279470981446825,0.0,0.0029301760141845997,0.07164340126704123,0.028498327608664022,0.0,0.0,0.022588136703446803,0.011961704521261515,0.0,0.03982215554900757,0.04426615206304127
keratinocyte,0.0,0.0,0.0,0.0,0.013538998116451513,0.013611067355211776,0.19203858249945552,0.0,0.016670238019071148,0.0,0.0,0.0037861592560798503,0.0,0.04029967151674621,0.012683207404204297,0.01524215665865594,0.0,0.0005322692408263356,0.035386124668029005,0.2249867150451263,0.0,0.0,0.008143237538359799
kidney epithelial cell,0.1758156193213068,0.1758156193213068,0.1758156193213068,0.1758156193213068,0.006541246903214317,0.1276720536284655,0.0,0.014215907241920516,0.0,0.0,0.0,0.0,0.0,0.1328734090601173,0.03723106105206567,0.0,0.0,0.022417578171606427,0.01107841701853086,0.0,0.04661702188585804,0.0,0.007855120444078935
luminal cell of prostate epithelium,0.010091268219204584,0.010091268219204584,0.010091268219204584,0.010091268219204584,0.0067813674818047644,0.0,0.0,0.0,0.00850435986576604,0.06919956411755386,0.0,0.0,0.025253678860927792,0.0,0.0,0.01308408536058091,0.028706513904474158,0.0,0.03132243508349842,0.04807881849848413,0.045457337593359105,0.0,0.04261591260119135
medullary thymic epithelial cell,0.0,0.0,0.0,0.0,0.0,0.005342719100628532,0.0,0.0,0.0,0.01891931186091515,0.029715896788374246,0.0,0.0,0.0,0.015116669156510018,0.0,0.09784693056917425,0.0,0.0,0.0,0.04079442336942367,0.027159380556551652,0.060411545721338264
mucus secreting cell/secretory cell/tracheal goblet cell,0.0,0.0,0.0,0.0,0.0,0.0,0.01610323695043191,0.025743494295113054,0.012720507231695252,0.0,0.0,0.03026254203812767,0.013809792422857218,0.0,0.018517313934177593,0.001964826431523356,0.009252215619086155,0.0,0.0,0.09710152020471563,0.0,0.01069665568777123,0.0
pancreatic acinar cell,0.06594978155209515,0.06594978155209515,0.06594978155209515,0.06594978155209515,0.0008265074856273966,0.0,0.0,0.0042983683505705755,0.05296721369953641,0.0,0.0,0.0,0.04849213699922803,0.0,0.0,0.03345746492797352,0.073735797373722,0.021286447779024702,0.0,0.0,0.006156181686117546,0.006615880667022073,0.030435814738565818
pancreatic alpha cell/pancreatic beta cell,0.04036550388450912,0.04036550388450912,0.04036550388450912,0.04036550388450912,0.0034462301758595056,0.01416447939031796,0.0,0.0,0.0,0.09703544847575199,0.007175805762837506,0.0,0.004366465248399688,0.0,0.0,0.006274984108860378,0.0,0.04114346603468783,0.02784460006297473,0.0,0.0,0.01101641486335916,0.0
